State n. | Speed | Steer | location(x,y) | AngularSpeed | time 
128    |24.123159176909525   |0.20472170785069466   |[3.160037875175476, 112.83874130249023]  |-0.11209598183631897  |0.06252002716064453     
129    |24.121530777120025   |0.2248414233326912   |[3.1401576697826385, 113.32076263427734]  |-0.07232528179883957  |0.06367206573486328     
130    |24.12137083391046   |0.16459854319691658   |[3.1216757893562317, 113.80284118652344]  |-0.12081960588693619  |0.062364816665649414     
131    |24.121530617205664   |0.11781793087720871   |[3.102963626384735, 114.28491020202637]  |-0.0748770460486412  |0.0625913143157959     
132    |24.121888805291313   |0.0498875230550766   |[3.0839154422283173, 114.7669677734375]  |-0.07201110571622849  |0.062285661697387695     
133    |24.12210409362178   |-0.001991651952266693   |[3.063939779996872, 115.24899482727051]  |-0.030926473438739777  |0.06421828269958496     
134    |24.122168732663777   |-0.055062733590602875   |[3.0430405735969543, 115.73098182678223]  |-0.011702089570462704  |0.06126999855041504     
135    |24.1220606305909   |-0.09367473423480988   |[3.020983248949051, 116.21292495727539]  |0.02135670743882656  |0.06373763084411621     
136    |24.121829999576715   |-0.12577909976243973   |[2.9978034496307373, 116.6948013305664]  |0.04146739840507507  |0.06105446815490723     
137    |24.1215518724672   |-0.14535393565893173   |[2.9734528958797455, 117.17661666870117]  |0.0640920028090477  |0.06287741661071777     
138    |24.121277827709093   |-0.15839386731386185   |[2.948016256093979, 117.65837097167969]  |0.07765945792198181  |0.11187219619750977     
139    |24.121051954728753   |-0.16219168901443481   |[2.9215162694454193, 118.14006423950195]  |0.09029114246368408  |0.0640866756439209     
140    |24.120893464212223   |-0.13239532709121704   |[2.8940527141094208, 118.6216983795166]  |0.09627901017665863  |0.06119418144226074     
141    |24.121043796026974   |-0.12540698051452637   |[2.866329103708267, 119.10332489013672]  |0.08024349808692932  |0.0623624324798584     
142    |24.12106214597007   |-0.11899854987859726   |[2.8380090296268463, 119.58491325378418]  |0.08649599552154541  |0.06175589561462402     
143    |24.121056667626167   |0.1927691325545311   |[2.809029698371887, 120.06646728515625]  |0.08339066803455353  |0.06233525276184082     
144    |24.12028126193682   |0.20881477743387222   |[2.786265343427658, 120.54833602905273]  |-0.13197675347328186  |0.062158823013305664     
